А	а 
Б	б 
В	в 
Г	г 
Д	д 
Е	е 
И	и 
К	к 
М	м 
Н	н 
О	о 
П	п 
С	с 
Ф	ф 
Х	х 
Я	я 
а	а 
в	в 
е	е 
и	и 
о	о 
р	р 
с	с 
у	у 
ш	ш 
щ	щ 
ҫ	ҫ 
АУ	а у 
Ав	а в 
Ах	а х 
БТ	б т 
Дж	д ж 
Ен	е н 
ЗД	з д 
За	з а 
Ку	к у 
Ма	м а 
Не	н е 
Ни	н и 
РФ	р ф 
Сӑ	с ӑ 
Ты	т ы 
Ун	у н 
Хо	х о 
ЧР	ч р 
Чи	ч и 
Ши	ш и 
Эп	э п 
Юн	ю н 
Юр	ю р 
Ют	ю т 
Ял	я л 
Ят	я т 
Яш	я ш 
ав	а в 
ак	а к 
ал	а л 
ан	а н 
аш	а ш 
ве	в е 
га	г а 
де	д е 
ен	е н 
за	з а 
ир	и р 
ку	к у 
кӑ	к ӑ 
мы	м ы 
на	н а 
не	н е 
ни	н и 
ну	н у 
от	о т 
по	п о 
ра	р а 
ре	р е 
ри	р и 
ру	р у 
си	с и 
та	т а 
те	т е 
ту	т у 
уй	у й 
ун	у н 
ха	х а 
чи	ч и 
ши	ш и 
шӗ	ш ӗ 
эп	э п 
юн	ю н 
юр	ю р 
ют	ю т 
ял	я л 
яр	я р 
ят	я т 
ҫи	ҫ и 
ҫу	ҫ у 
ӑс	ӑ с 
ӑш	ӑ ш 
Ӗҫ	ӗ ҫ 
ӗҫ	ӗ ҫ 
Ази	а з и 
Акӑ	а к ӑ 
Ана	а н а 
Ара	а р а 
Арт	а р т 
Аса	а с а 
Атя	а т я 
Ача	а ч а 
Все	в с е 
Вут	в у т 
Вӑй	в ӑ й 
Вӑл	в ӑ л 
Вӑт	в ӑ т 
ГЭС	г э с 
Дед	д е д 
Дом	д о м 
Ейӳ	е й ӳ 
Ене	е н е 
ЖКХ	ж к х 
Зоя	з о я 
ИНМ	и н м 
Икӗ	и к ӗ 
ИӖМ	и ӗ м 
Как	к а к 
Кам	к а м 
Кун	к у н 
Куҫ	к у ҫ 
Кыш	к ы ш 
Кӑк	к ӑ к 
Кӗр	к ӗ р 
Лев	л е в 
Лео	л е о 
Люк	л ю к 
МАР	м а р 
МГц	м г ц 
МЧС	м ч с 
Ман	м а н 
Мир	м и р 
Мой	м о й 
Мӑн	м ӑ н 
Мӗн	м ӗ н 
Наш	н а ш 
Нью	н ь ю 
Ола	о л а 
ПНО	п н о 
ППЭ	п п э 
ПФО	п ф о 
Пил	п и л 
Про	п р о 
Пӗр	п ӗ р 
РАН	р а н 
СИМ	с и м 
Сад	с а д 
Суд	с у д 
Сӑн	с ӑ н 
Сӑр	с ӑ р 
Сӗт	с ӗ т 
ТБО	т б о 
ТУС	т у с 
Тав	т а в 
Тем	т е м 
Тен	т е н 
Тин	т и н 
Тол	т о л 
Тыл	т ы л 
Тӗл	т ӗ л 
Тӗп	т ӗ п 
УАЗ	у а з 
Усӑ	у с ӑ 
Утӑ	у т ӑ 
Уяв	у я в 
Уҫӑ	у ҫ ӑ 
Хӑй	х ӑ й 
Хӑш	х ӑ ш 
Хӗл	х ӗ л 
